lgsgm0.21     lgsgm1.20     p3fl.0        tCrcl.10      vImpct.21     xMax.21       pMin.22       pMax.22       pMdl.0        E.0           N.0           eta.0         
-2.6000e+000  +2.4000e+000  +0.0000e+000  +1.0075e+001  +7.1497e+000  +1.2799e+001  +8.5061e-003  +1.2297e-002  +1.0181e-002  +2.5559e+001  +2.5369e+000  +9.9197e-001  
-2.6000e+000  +2.5000e+000  +0.0000e+000  +1.0044e+001  +7.1637e+000  +1.3819e+001  +6.8796e-003  +9.6570e-003  +8.1196e-003  +2.5659e+001  +2.5546e+000  +9.9493e-001  
-2.5000e+000  +5.0000e-001  +0.0000e+000  +4.5833e+001  +3.8554e+000  +1.0031e+001  +7.3487e-002  +1.0294e+000  +7.8182e-001  +7.4320e+000  +1.6215e-001  +6.5588e-002  
-2.5000e+000  +6.0000e-001  +0.0000e+000  +4.0865e+001  +4.2865e+000  +1.0031e+001  +7.0935e-002  +1.0297e+000  +7.5529e-001  +9.1871e+000  +2.2482e-001  +7.4767e-002  
-2.5000e+000  +7.0000e-001  +0.0000e+000  +3.6434e+001  +4.7705e+000  +1.0031e+001  +6.8733e-002  +1.0300e+000  +7.2553e-001  +1.1379e+001  +3.1232e-001  +8.5890e-002  
-2.5000e+000  +8.0000e-001  +0.0000e+000  +3.2482e+001  +5.3139e+000  +1.0031e+001  +6.6826e-002  +1.0302e+000  +6.9214e-001  +1.4119e+001  +4.3466e-001  +9.9530e-002  
-2.5000e+000  +9.0000e-001  +0.0000e+000  +2.8958e+001  +5.9238e+000  +1.0031e+001  +6.5171e-002  +1.0304e+000  +6.5468e-001  +1.7546e+001  +6.0590e-001  +1.1651e-001  
-2.5000e+000  +1.0000e+000  +0.0000e+000  +2.5816e+001  +6.6084e+000  +1.0031e+001  +6.3729e-002  +1.0306e+000  +6.1264e-001  +2.1836e+001  +8.4581e-001  +1.3806e-001  
-2.5000e+000  +1.1000e+000  +0.0000e+000  +2.3014e+001  +7.3767e+000  +1.0031e+001  +6.2471e-002  +1.0307e+000  +5.6548e-001  +2.7208e+001  +1.1822e+000  +1.6607e-001  
-2.5000e+000  +1.2000e+000  +0.0000e+000  +2.0516e+001  +8.2387e+000  +1.0031e+001  +6.1371e-002  +1.0307e+000  +5.1256e-001  +3.3938e+001  +1.6543e+000  +2.0364e-001  
-2.5000e+000  +1.3000e+000  +0.0000e+000  +1.8289e+001  +9.2036e+000  +1.0031e+001  +6.0400e-002  +1.0292e+000  +4.5321e-001  +4.2353e+001  +2.3158e+000  +2.5610e-001  
-2.5000e+000  +1.4000e+000  +0.0000e+000  +1.6307e+001  +1.0268e+001  +1.0032e+001  +5.9506e-002  +1.0184e+000  +3.8677e-001  +5.2715e+001  +3.2327e+000  +3.3274e-001  
-2.5000e+000  +1.5000e+000  +0.0000e+000  +1.4558e+001  +1.1357e+001  +1.0034e+001  +5.8491e-002  +9.6343e-001  +3.1308e-001  +6.4485e+001  +4.4296e+000  +4.4742e-001  
-2.5000e+000  +1.6000e+000  +0.0000e+000  +1.3058e+001  +1.2147e+001  +1.0042e+001  +5.6646e-002  +7.7983e-001  +2.3420e-001  +7.3779e+001  +5.6501e+000  +6.0600e-001  
-2.5000e+000  +1.7000e+000  +0.0000e+000  +1.1868e+001  +1.2017e+001  +1.0072e+001  +5.2218e-002  +4.6311e-001  +1.5743e-001  +7.2203e+001  +6.0839e+000  +7.7108e-001  
-2.5000e+000  +1.8000e+000  +0.0000e+000  +1.1049e+001  +1.0823e+001  +1.0162e+001  +4.3467e-002  +2.1113e-001  +9.5093e-002  +5.8571e+001  +5.3009e+000  +8.8349e-001  
-2.5000e+000  +1.9000e+000  +0.0000e+000  +1.0582e+001  +9.3382e+000  +1.0373e+001  +3.2416e-002  +9.5064e-002  +5.5224e-002  +4.3601e+001  +4.1203e+000  +9.3928e-001  
-2.5000e+000  +2.0000e+000  +0.0000e+000  +1.0346e+001  +8.2163e+000  +1.0745e+001  +2.3203e-002  +4.9747e-002  +3.3819e-002  +3.3754e+001  +3.2626e+000  +9.6473e-001  
-2.5000e+000  +2.1000e+000  +0.0000e+000  +1.0223e+001  +7.5384e+000  +1.1283e+001  +1.6945e-002  +3.0447e-002  +2.2591e-002  +2.8414e+001  +2.7794e+000  +9.7729e-001  
-2.5000e+000  +2.2000e+000  +0.0000e+000  +1.0153e+001  +7.1860e+000  +1.1983e+001  +1.2863e-002  +2.0909e-002  +1.6301e-002  +2.5819e+001  +2.5430e+000  +9.8430e-001  
-2.5000e+000  +2.3000e+000  +0.0000e+000  +1.0107e+001  +7.0570e+000  +1.2845e+001  +1.0140e-002  +1.5559e-002  +1.2487e-002  +2.4900e+001  +2.4637e+000  +9.8882e-001  
-2.5000e+000  +2.4000e+000  +0.0000e+000  +1.0074e+001  +7.0851e+000  +1.3883e+001  +8.2450e-003  +1.2246e-002  +9.9988e-003  +2.5100e+001  +2.4915e+000  +9.9201e-001  
-2.5000e+000  +2.5000e+000  +0.0000e+000  +1.0041e+001  +7.2359e+000  +1.5105e+001  +6.8772e-003  +1.0049e-002  +8.2857e-003  +2.6179e+001  +2.6072e+000  +9.9506e-001  
